,"Gross domestic product 2021, PPP",,,,
,,,,,
,,,,(millions of,
,Ranking,,Economy,international dollars),
,,,,,
,,,,,
,".. Not available. 
PPP is purchasing power parity; an international dollar has the same purchasing power over GDP as a U.S. dollar has in the United States. PPP figures are extrapolated from 2017 benchmark estimates by the International Comparison Program (ICP), unless otherwise footnoted. 
Note: Rankings include only those economies with confirmed GDP estimates. Figures in italics are for 2020 or 2019, ranking is approximate.
a. PPP is extrapolated from regression-based estimates.  b. PPP is extrapolated from revised 2011 benchmark estimates by the ICP.  c. Includes Former Spanish Sahara.   d. Covers mainland Tanzania only.  e. Excludes Abkhazia and South Ossetia.  f. Data are for the area controlled by the government of Cyprus.  g. Excludes Transnistria. h. Based on data from official statistics of Ukraine and Russian Federation; by relying on these data, the World Bank does not intend to make any judgment on the legal or other status of the territories concerned or to prejudice the final determination of the parties' claims. ",,,,
,,,,,
,,,,,
,http://data.worldbank.org/data-catalog/world-development-indicators,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
