Country,Population millions (2021),Surface area sq. km thousands (2018),Population density people per sq. km(2021),"Gross national income, Atlas method","Gross national income per capita, Atlas method",Purchasing power parity gross national income2021 (2021),Purchasing power parity gross national income2021 per capita (2021),Gross domestic product %growth(2021),Gross domestic product per capita%growth(2021)
Sint Maarten (Dutch part),0,0,1260,..,..,..,..,..,..
Slovak Republic,5.4,49,113,110.3,20250,176.7,32450,3,3.2
Slovenia,2.1,20.5,105,59.5,28240,90.7,43060,8.1,7.9
Solomon Islands,0.7,28.9,25,1.6,2300,1.9,2680,-0.2,-2.6
Somalia,16.4,637.7,26,7.3,450,21.2,1300,3.3,0.4
South Africa,60,1219.1,49,386.9,6440,849.3,14140,4.9,3.6
South Sudan,11.4,633.9,18,..,..,..,..,..,..
Spain,47.3,506,95,1407.5,29740,1939.7,40980,5.1,5.2
Sri Lanka,22.2,65.6,358,84.6,3820,305.4,13790,3.7,2.5
St. Kitts and Nevis,0.1,0.3,206,1,18560,1.4,25900,-1,-1.7
St. Lucia,0.2,0.6,302,1.8,9680,2.5,13810,6.6,6.2
St. Martin (French part),0,0.1,785,..,..,..,..,..,..
St. Vincent and the Grenadines,0.1,0.4,285,0.9,8100,1.6,13950,0.7,0.4
Sudan,44.9,1854.1,24,29.9,670,179.7,4000,0.1,-5.9
Suriname,0.6,163.8,4,2.6,4440,8.5,14430,-3.5,-4.3
Sweden,10.4,447.4,26,613.4,58890,636.3,61090,4.8,4.2
Switzerland,8.7,41.3,220,785.9,90360,659.8,75860,3.7,3
Syrian Arab Republic,18.3,185.2,100,..,..,..,..,..,..
Tajikistan,9.7,141.4,70,11.2,1150,50.5,5180,9.2,6.8
Tanzania,61.5,947.3,69,67.8,1140,174.5,2920,4.3,-1
Thailand,70,513.1,137,507.6,7260,1296.4,18530,1.6,1.3
Timor-Leste,1.3,14.9,90,2.6,1940,7.2,5360,4.4,2.4
Togo,8.5,56.8,156,8.3,980,20.2,2390,5.3,2.8
Tonga,0.1,0.8,148,0.5,5190,0.8,7260,0.7,-0.5
Trinidad and Tobago,1.4,5.1,274,21.2,15070,36,25670,-1,-1.3
Tunisia,11.9,163.6,77,43.3,3630,134.5,11270,3.3,2.3
Turkiye,85,785.4,110,836.3,9830,2553.2,30020,11,10.1
Turkmenistan,6.1,488.1,13,42.9,7220,92.7,15600,6.3,4.7
Turks and Caicos Islands,0,1,41,0.9,23600,0.9,22660,2.1,0.8
Tuvalu,0,0,398,0.1,6760,0.1,6770,3,1.8
Uganda,47.1,241.6,235,39.5,840,111.1,2360,3.4,0.3
Ukraine,43.8,603.6,76,170.7,4120,573.5,13860,3.4,-3.4
United Arab Emirates,10,98.6,141,389.8,39410,659.5,66680,-6.1,-7.3
United Kingdom,67.3,243.6,278,3055.3,45380,3327,49420,7.4,7
United States,331.9,9831.5,36,23374.7,70430,23393.1,70480,5.7,5.5
Uruguay,3.5,176.2,20,55.1,15800,78.6,22540,4.4,4
Uzbekistan,34.9,448.9,79,68.6,1960,297.6,8520,7.4,5.3
Vanuatu,0.3,12.2,26,1,3140,1,3220,0.5,-1.8
"Venezuela, RB",28.7,912.1,33,..,..,..,..,..,..
Vietnam,98.2,331.2,317,349.3,3560,1084.2,11040,2.6,1.7
Virgin Islands (U.S.),0.1,0.4,302,..,..,..,..,-2.1,-1.8
West Bank and Gaza,4.9,6,818,20.8,4220,36.3,7370,7.1,4.5
"Yemen, Rep.",30.5,528,58,19.8,670,..,..,-2.1,-4.2
Zambia,18.9,752.6,25,19.6,1040,62.4,3300,3.6,0.6
Zimbabwe,15.1,390.8,39,21.2,1400,56.5,3740,5.8,4.2
